luas_tanah;luas_bangunan;jml_kamar;umur;jarak;harga;;;;
49.393.186.195.684.000;22.080.138.824.770.400;5;138.350.070.376.173;13.168.404.563.069.400;5.711.769.770.296.300;;;;
3.225.986.687.105.990;3.701.750.300.893.340;5;28.197.953.759.094.600;4.700.696.456.057.290;702.314.294.062.169;;;;
1.567.520.562.811.970;2.138.764.886.751.570;2;15.120.112.907.889.700;16.398.896.127.093.800;200.00.00;;;;
9.580.211.267.918.160;3.970.984.654.846.250;5;2.847.602.079.542.670;6.180.362.298.937.200;3.500.196.057.186.000;;;;
11.878.661.263.294.900;34.502.723.436.568.500;3;24.984.957.056.072.200;14.899.680.271.661.500;4.040.404.799.907.360;;;;
16.068.097.777.302.800;10.714.889.031.221.400;3;10.872.939.678.474.800;8.070.284.089.592.270;200.00.00;;;;
12.230.661.796.680.000;374.320.229.418.249;2;2.590.924.263.889.840;1.091.580.223.500.090;23.914.518.872.647.600;;;;
1.339.551.608.230.870;7.305.556.721.762.610;2;33.018.985.260.334.500;229.149.269.656.867;200.00.00;;;;
1.782.928.259.122.310;3.324.563.921.417.400;5;27.751.415.260.290.400;4.443.285.659.944.480;45.008.912.046.407.500;;;;
12.801.811.788.263.900;17.083.061.858.633.400;4;18.949.305.452.486.700;19.186.742.306.865.400;2.449.682.029.617.440;;;;
4.535.444.410.818.910;3.548.504.985.646.750;2;16.317.224.556.693.300;17.912.623.015.491.300;5.160.390.263.897.960;;;;
8.610.518.554.773.890;3.511.809.753.397.560;1;19.327.701.709.524.300;13.393.227.107.081.900;200.00.00;;;;
2.860.301.253.066.140;3.281.923.980.435.190;3;29.227.429.624.342.600;973.324.735.032.901;200.00.00;;;;
2.346.785.721.453.470;3.223.112.614.336.120;1;20.940.196.384.388.600;13.839.464.565.009.200;3.656.202.045.953.310;;;;
4.920.703.776.088.720;1.427.312.814.662.750;3;1.664.063.129.340.250;12.753.595.492.784.800;3.221.289.375.708.030;;;;
10.041.750.597.562.300;599.401.347.289.633;3;22.433.830.492.781.100;1.180.249.285.648.760;200.00.00;;;;
22.903.501.957.058.300;17.910.266.614.310.900;2;2.430.775.760.098.590;21.243.643.654.072.900;464.996.684.624.763;;;;
486.261.694.973.916;9.420.407.054.500.820;2;12.414.823.959.623.800;13.023.249.602.568.600;49.548.409.543.960.300;;;;
43.947.820.665.229.100;2.871.319.028.939.100;1;612.499.677.504.729;15.609.480.846.852.100;6.584.544.779.570.150;;;;
41.768.243.192.717.500;15.805.689.881.898.000;3;1.270.268.363.171.510;19.887.551.438.265.900;6.936.882.072.031.090;;;;
16.605.627.217.022.200;39.097.577.431.816.800;1;17.391.784.712.916.700;12.104.924.992.918.800;5.918.191.558.671.720;;;;
12.689.941.432.552.900;2.671.596.686.177.720;4;13.587.332.108.028.300;14.873.295.612.902.800;3.622.034.763.922.720;;;;
35.088.944.896.599.300;33.431.780.854.471.300;1;28.462.331.854.491.300;11.863.997.002.783.600;403.960.020.034.407;;;;
4.682.191.951.074.130;7.903.412.891.448.390;5;18.181.472.314.472.900;9.246.991.345.538.170;5.662.639.297.087.100;;;;
3.005.433.018.562.680;34.894.535.844.087.000;1;20.561.860.303.380.100;34.238.333.168.560.400;5.244.447.586.383.250;;;;
30.722.571.026.145.400;3.714.201.604.899.550;5;0.7489866636017151;8.772.617.824.062.640;6.791.095.340.296.490;;;;
17.599.059.214.712.700;2.102.129.099.630.060;5;5.143.025.301.316.280;7.733.166.476.736.570;20.012.251.466.641.700;;;;
3.962.718.199.363.710;25.431.358.696.786.100;5;13.607.369.997.685.000;6.753.767.890.596.100;5.416.103.813.669.280;;;;
1.341.696.868.508.850;31.297.962.633.410.800;4;13.646.173.284.086.000;14.886.712.843.121.900;34.510.095.978.960.500;;;;
19.565.565.638.190.900;9.469.029.208.635.260;1;20.571.016.288.009.300;14.313.784.904.401.000;200.00.00;;;;
24.144.639.737.738.700;2.159.494.482.914.730;1;27.306.391.046.032.600;1.219.138.172.863.730;200.00.00;;;;
2.784.246.704.080.040;17.750.532.027.575.500;4;19.170.964.767.447.600;18.834.631.452.574.000;200.00.00;;;;
1.590.843.795.867.860;8.415.837.710.003.210;3;28.606.052.935.545.200;7.647.233.299.436.230;200.00.00;;;;
10.167.657.113.264.100;16.598.773.624.786.600;2;2.644.846.919.633.990;5.632.236.816.493.410;200.00.00;;;;
3.247.790.190.987.340;5.522.375.447.263.260;1;17.534.993.865.923.700;13.462.162.948.869.500;200.00.00;;;;
1.798.837.489.581.150;39.550.405.571.310.100;2;25.013.758.527.564.800;4.777.467.157.810.650;200.00.00;;;;
3.115.571.996.401.750;8.001.152.698.728.440;4;1.927.732.830.970.900;6.985.199.636.485.060;200.00.00;;;;
11.946.322.187.339.100;3.863.525.912.879.940;3;23.567.349.277.118.100;5.267.446.361.422.810;7.178.019.081.382.440;;;;
2.665.130.458.346.670;23.332.592.828.115.600;3;222.169.416.977.853;23.139.177.866.515.200;5.139.232.933.446.340;;;;
2.896.652.446.482.130;38.735.419.962.669.100;3;28.472.532.380.203.800;16.722.476.091.077.700;5.913.395.828.453.470;;;;
733.205.915.700.921;19.002.421.498.214.800;4;17.822.483.417.091.300;58.362.703.155.115.600;2.468.563.306.670.310;;;;
20.147.192.518.726.400;14.537.196.924.154.600;5;21.079.206.175.746.800;9.987.522.563.517.390;28.012.594.141.033.300;;;;
11.048.660.462.253.800;21.727.248.925.089.000;5;19.958.282.463.256.500;18.229.901.918.319.200;2.966.716.949.368.160;;;;
785.187.367.127.455;19.261.932.479.417.600;2;6.923.839.617.795.950;14.287.449.858.800.200;23.433.214.483.145.300;;;;
4.954.821.045.754.750;6.909.593.317.684.520;5;27.470.166.967.849.400;7.280.659.043.819.520;200.00.00;;;;
19.505.923.023.862.500;26.710.573.643.537.600;5;1.848.943.476.698.680;15.149.997.828.754.900;200.00.00;;;;
4.144.435.006.345.850;10.993.412.752.855.100;3;7.388.580.564.315.940;8.835.658.148.889.450;3.864.289.547.329.980;;;;
16.458.829.464.369.300;25.924.754.331.219.600;3;20.720.393.134.440.100;4.719.356.521.706.860;200.00.00;;;;
35.667.622.500.076.800;27.057.440.418.731.600;2;1.790.329.259.885.060;10.750.326.563.358.600;3.821.301.814.478.820;;;;
39.210.253.695.035.800;862.491.956.575.998;1;15.047.270.997.538.400;3.479.586.633.111.350;39.922.875.736.564.800;;;;
3.180.374.332.735.290;5.269.936.203.094.720;2;29.285.609.249.642.500;93.702.440.375.869;200.00.00;;;;
26.220.928.484.757.100;3.188.817.868.453.220;2;20.503.613.322.225.200;7.028.804.070.989.240;531.953.068.508.071;;;;
23.532.841.136.627.000;20.012.615.679.464.800;4;1.126.323.329.003.730;1.832.723.209.979.300;200.00.00;;;;
2.069.907.199.443.470;5.152.060.433.702.600;4;2.400.220.296.230.600;21.576.457.126.936.700;200.00.00;;;;
46.828.811.491.152.100;39.810.053.735.281.300;2;26.537.498.787.635.600;141.863.308.680.091;4.032.723.037.083.010;;;;
4.237.787.335.044.780;5.137.880.756.865.560;2;37.566.167.855.049.400;4.472.272.153.761.280;4.464.836.996.395.710;;;;
48.426.210.979.993.000;28.716.303.467.766.400;2;60.165.893.353.579.900;7.061.856.412.312.550;8.154.630.705.139.370;;;;
10.593.375.056.849.500;39.396.120.234.746.300;5;6.486.810.273.833.390;8.894.767.198.179.250;6.297.341.032.446.880;;;;
3.788.903.638.416.390;11.849.663.855.989.200;4;2.073.635.428.159.620;1.825.228.669.812.450;200.00.00;;;;
472.253.205.569.467;8.263.226.641.426.250;2;180.911.866.515.985;5.608.987.055.402.670;2.088.664.873.225.080;;;;
13.155.487.977.454.700;7.491.242.758.629.860;3;18.569.746.940.957.600;2.734.867.248.348.730;200.00.00;;;;
7.992.332.031.504.980;14.221.180.460.001.000;3;28.223.198.990.685.000;70.551.024.758.199.400;200.00.00;;;;
3.835.042.921.805.260;6.738.695.007.393.920;5;23.277.345.984.219.100;2.988.843.440.175.130;36.917.969.336.080.600;;;;
30.851.290.093.096.000;2.860.996.964.268.280;5;38.381.077.353.534.900;34.433.332.332.504.900;7.585.019.783.018.860;;;;
42.882.294.954.122.200;53.047.965.308.123.100;1;10.425.212.472.755.400;11.903.161.361.525.500;200.00.00;;;;
11.289.756.948.183.000;2.184.861.874.154.220;1;13.061.809.385.272.000;21.571.367.288.903.700;2.257.566.340.522.900;;;;
4.078.702.903.369.500;39.877.783.592.560.100;1;11.878.847.662.428.100;15.876.867.464.777.500;6.456.312.117.695.700;;;;
14.073.229.402.148.500;33.116.899.971.722.600;5;20.079.258.274.856.300;14.573.867.927.939.400;35.955.392.330.934.500;;;;
12.364.517.428.956.700;257.631.192.145.474;5;26.756.793.097.696.800;7.871.294.801.979.840;200.00.00;;;;
12.391.960.906.894.600;14.331.383.969.104.600;5;918.154.390.568.364;3.382.131.635.443.590;3.519.215.155.989.950;;;;
416.558.624.104.122;2.608.414.594.279.060;3;16.556.314.092.635.500;5.818.642.646.334.450;4.694.514.014.273.720;;;;
34.933.874.931.329.000;2.250.053.416.473.110;5;2.368.228.265.740.750;13.199.643.639.695.500;200.00.00;;;;
28.537.944.114.610.300;18.765.085.203.943.700;3;1.248.654.176.536.040;6.235.194.775.676.170;4.787.723.639.734.400;;;;
21.147.371.785.557.600;783.628.393.938.738;1;5.043.543.851.978.870;1.039.590.137.728.770;200.00.00;;;;
4.447.402.433.658.980;3.580.435.596.389.720;1;14.248.528.957.912.400;33.122.108.278.067.700;8.592.845.499.550.550;;;;
22.660.029.834.018.500;19.642.032.006.388.900;1;1.656.675.622.290.850;12.173.779.114.503.400;200.00.00;;;;
4.174.697.477.622.090;10.201.032.937.368.300;2;28.271.503.620.068.300;7.005.475.993.022.010;200.00.00;;;;
24.761.070.885.659.800;16.607.095.982.459.700;2;2.244.636.155.849.190;12.912.400.256.045.600;21.892.918.591.601.600;;;;
21.962.499.324.120.800;183.228.008.435.703;4;13.153.701.457.517.300;16.359.502.763.776.400;200.00.00;;;;
2.582.059.035.513.220;3.361.890.213.597.430;4;15.896.437.832.655.700;12.621.281.968.409.800;21.079.686.501.699.200;;;;
18.562.004.337.386.300;3.014.373.208.077.180;4;29.559.114.968.618.500;6.619.203.689.305.390;337.005.231.421.391;;;;
386.424.221.079.313;31.464.281.064.729.500;2;4.980.654.709.285.820;5.859.130.329.417.700;9.298.120.919.408.710;;;;
27.622.417.554.161.500;3.408.156.783.859.940;2;3.432.945.558.370.750;7.220.998.215.935.510;25.215.166.683.263.800;;;;
1.544.957.128.160.670;18.397.697.932.651.100;4;0.26118441187630737;4.127.789.751.493.590;4.227.554.058.906.350;;;;
4.548.085.579.735.550;20.809.733.610.506.900;4;4.667.143.106.079.060;4.442.265.166.150.380;43.680.030.149.886.300;;;;
22.275.104.961.794.500;3.710.114.242.453.090;5;6.218.189.372.030.020;1.602.313.093.610.310;200.00.00;;;;
29.459.878.750.129.400;12.613.088.723.566.200;4;1.891.742.824.749.270;8.309.918.953.641.450;200.00.00;;;;
45.791.244.993.404.600;31.130.723.455.518.900;5;6.591.203.711.742.010;928.390.843.084.113;6.430.320.635.483.540;;;;
33.090.709.816.129.600;8.073.059.111.972.960;3;0.6156244418797563;12.286.939.845.769.400;4.203.202.732.164.630;;;;
10.260.411.831.876.300;2.280.647.486.374.580;2;2.479.855.036.507.460;12.203.416.407.879.400;200.00.00;;;;
47.292.445.562.606.300;10.962.469.264.637.700;4;10.967.871.030.119.000;2.280.160.558.916.580;901.409.466.420.113;;;;
33.246.862.388.213.800;3.448.468.661.824.050;2;10.610.900.597.422.000;16.799.274.940.415.600;200.00.00;;;;
20.070.752.659.568.800;11.924.453.931.183.000;2;9.074.370.875.037.790;4.369.204.511.254.840;2.184.580.153.246.330;;;;
11.267.243.269.852.400;3.910.732.893.167.190;2;29.261.198.314.392.600;14.738.361.084.943.700;200.00.00;;;;
4.073.113.351.716.330;32.656.873.139.670.600;3;5.103.462.519.278.440;15.680.748.774.435.100;22.415.788.623.956.300;;;;
3.290.327.401.678.310;38.504.335.839.878.200;1;26.947.141.918.597.000;1.458.309.114.773.490;41.456.946.303.584.200;;;;
2.900.574.913.893.440;2.105.059.962.527.540;4;23.304.099.964.196.600;1.200.057.528.452.870;2.820.188.437.991.220;;;;
4.522.516.623.729.300;706.023.935.106.763;1;22.943.986.649.793.900;12.775.709.450.687.700;31.310.440.491.434.900;;;;
40.486.874.505.103.800;2.327.450.109.202.660;1;2.960.187.304.502.540;7.847.134.354.900.240;25.737.307.883.094.900;;;;
11.825.369.587.973.800;19.811.961.378.718.500;1;8.140.978.906.170.310;12.491.949.157.889.000;200.00.00;;;;
19.027.493.050.799.600;3.424.121.206.136.570;2;295.748.781.067.237;8.361.574.622.528.230;4.183.903.883.460.930;;;;
16.182.011.291.650.900;662.905.548.901.705;5;24.879.427.023.772.700;17.406.118.003.343.400;200.00.00;;;;
38.477.583.165.770.400;21.064.922.069.805.700;2;21.200.266.010.330.900;6.867.243.231.642.690;200.00.00;;;;
6.508.959.563.110.070;8.551.800.593.677.410;2;18.516.564.176.337.000;6.577.161.056.714.540;200.00.00;;;;
30.645.035.819.209.200;1.501.300.929.493.220;1;46.794.259.109.679.900;6.053.956.168.760.500;22.571.961.656.651.200;;;;
3.931.064.085.833.100;3.028.221.186.334.850;2;14.354.883.487.678.800;7.322.836.510.255.110;5.806.223.806.889.230;;;;
4.445.445.365.427.870;2.061.267.078.664.430;1;23.416.680.806.616.400;11.590.694.321.969.500;200.00.00;;;;
20.393.678.692.215.800;16.907.866.550.393.400;5;9.108.718.144.315.200;14.433.290.591.179.200;200.00.00;;;;
4.195.657.871.024.050;17.595.622.307.091.300;4;9.350.694.855.451.240;13.588.790.437.036.900;22.324.683.613.799.500;;;;
9.978.428.162.984.320;19.999.530.431.021.500;1;0.09422718144366349;16.346.638.579.648.100;200.00.00;;;;
4.309.035.312.805.330;32.045.612.121.971.100;5;5.227.302.049.361.380;17.832.365.914.451.000;5.169.600.362.081.320;;;;
10.736.989.804.939.200;36.007.133.490.788.600;4;2.626.216.875.365.500;16.505.501.804.523.600;200.00.00;;;;
22.877.928.075.216.500;38.347.383.400.645.300;3;13.252.394.749.131.200;1.359.962.664.112.730;5.803.490.029.312.450;;;;
40.878.291.460.079.900;32.115.425.291.445.900;1;2.952.703.497.703.300;14.982.441.117.487.700;200.00.00;;;;
1.174.628.423.069.480;14.670.055.142.676.400;1;11.871.238.907.213.700;49.595.918.987.483;2.206.346.359.387.480;;;;
15.316.312.785.468.800;2.846.098.412.520.200;3;21.455.593.643.407.200;352.563.281.145.167;200.00.00;;;;
37.501.365.577.687.900;191.913.155.900.495;3;8.457.571.287.141.870;13.131.286.911.183.500;2.457.706.800.722.420;;;;
37.401.644.144.573.300;12.422.813.015.703.800;1;10.914.289.234.228.000;70.751.207.127.462.000;3.162.766.229.962.280;;;;
3.385.164.347.983.830;3.411.224.843.875.910;3;5.721.779.627.726.830;2.085.226.104.038.420;7.644.290.534.547.250;;;;
362.276.800.010.195;4.421.774.911.606.020;2;1.041.187.105.498.180;36.149.649.535.688.600;200.00.00;;;;
29.422.599.950.641.800;3.636.519.370.901.060;4;16.417.125.612.619.200;10.176.589.205.292.600;20.652.094.558.335.900;;;;
16.330.957.650.812.800;20.074.666.191.115.100;4;29.753.186.429.377.400;1.816.124.891.954.940;200.00.00;;;;
20.556.319.707.676.300;2.657.645.464.190.630;4;1.992.605.139.215.350;14.677.416.929.835.300;42.435.319.203.529.500;;;;
13.171.897.256.064.100;2.739.609.512.161.390;2;5.977.378.632.249.420;497.965.962.068.071;47.754.949.316.130.100;;;;
45.880.275.260.013.200;36.119.356.406.141.800;3;1.348.843.247.746.530;890.899.283.307.024;7.772.492.039.390.290;;;;
3.125.263.076.447.540;2.655.677.824.018.660;5;3.790.694.439.435.310;7.774.855.193.065.560;5.156.744.721.776.750;;;;
23.038.313.754.363.700;25.715.542.636.122.200;3;1.687.665.603.819.140;18.322.791.661.342.700;5.000.493.598.728.920;;;;
25.790.261.163.985.900;5.466.125.500.745.520;1;2.295.480.986.450.290;17.654.899.689.563.000;200.00.00;;;;
4.762.775.028.253.160;22.181.096.811.972.500;4;28.212.576.219.022.400;1.073.207.944.586.390;44.139.595.085.513.100;;;;
11.900.813.140.223.600;8.556.253.030.230.540;3;0.4746951599046245;13.929.109.787.963.100;200.00.00;;;;
31.380.342.440.755.800;30.285.049.442.694.900;5;15.682.804.246.856.000;18.702.261.499.942.200;200.00.00;;;;
27.764.990.549.800.900;21.952.211.070.068.900;1;14.126.020.686.695.300;12.787.053.790.350.600;2.957.707.958.799.710;;;;
3.251.544.059.455.910;2.816.842.783.070.900;2;1.968.165.065.927.110;16.271.349.484.223.400;398.871.097.266.505;;;;
5.814.958.271.937.820;4.541.897.322.288.210;2;1.678.736.563.396.020;259.077.381.906.162;200.00.00;;;;
44.245.575.902.486.800;6.137.304.593.694.710;5;20.611.174.517.474.400;8.332.850.707.801.610;200.00.00;;;;
4.694.532.271.176.250;29.503.965.358.319.200;1;1.974.247.754.247.570;8.104.995.555.102.280;4.515.547.047.868.230;;;;
304.309.932.615.144;56.671.204.319.509.100;4;35.103.517.457.383.800;17.839.476.112.658.600;200.00.00;;;;
36.349.287.074.460.100;5.636.498.927.314.560;3;23.991.537.408.561.500;38.760.522.540.022.200;200.00.00;;;;
4.651.247.215.297.830;3.448.013.583.690.830;1;36.969.772.714.897.400;3.885.837.274.395.970;2.669.610.606.891.360;;;;
3.682.573.854.410.290;3.839.055.173.708.070;2;20.955.918.756.274.100;72.426.048.478.301.700;5.169.129.274.469.950;;;;
1.186.425.693.114.170;3.028.780.929.998.320;5;12.484.361.029.218.200;2.034.854.899.969.910;356.874.464.392.517;;;;
3.093.297.620.750.650;16.070.302.114.576.300;5;15.415.522.037.297.900;4.466.702.772.397.310;2.148.007.739.069.060;;;;
3.230.217.708.722.850;13.971.816.507.643.200;3;27.098.940.431.271.300;19.338.983.132.368.900;200.00.00;;;;
2.408.588.020.860.730;15.939.019.500.596.400;5;26.696.511.794.204.500;9.135.494.857.476.280;200.00.00;;;;
3.813.999.060.311.250;3.166.218.065.370.370;5;24.535.689.169.650.800;13.008.364.960.026.200;4.053.119.472.740.290;;;;
4.704.651.566.460.560;27.470.712.609.605.300;1;15.304.451.413.689.600;14.796.113.927.548.100;3.172.620.939.642.900;;;;
4.665.058.308.080.490;9.852.236.011.096.310;4;22.087.194.304.014.900;7.972.266.733.136.800;25.379.465.071.334.000;;;;
25.287.771.713.185.900;9.442.045.407.361.120;3;1.538.691.166.556.420;37.973.144.137.998.200;22.442.014.005.552.800;;;;
10.095.712.062.833.900;66.406.390.393.957;1;2.608.818.247.424.330;4.925.039.308.213.830;200.00.00;;;;
4.931.785.395.330.500;2.743.120.062.894.950;4;12.083.274.996.986.900;6.952.063.055.031.590;7.511.240.815.560.600;;;;
42.750.413.890.067.000;3.128.178.850.220.420;1;29.107.060.332.446.300;13.085.299.986.692.200;200.00.00;;;;
10.609.820.654.147.000;12.806.717.848.025.100;1;27.969.682.746.866.300;8.567.330.432.692.030;200.00.00;;;;
46.437.884.717.781.700;37.749.635.581.437.700;5;22.248.078.583.553.500;11.294.792.601.024.300;20.926.965.198.641.400;;;;
4.414.533.629.279.570;6.040.351.696.627.810;4;838.247.652.528.216;10.944.736.516.281.900;2.726.720.073.555.250;;;;
28.347.712.570.673.200;3.881.082.128.926.610;3;39.496.076.637.977.500;1.850.875.444.624.090;3.788.703.338.353.700;;;;
31.607.394.608.521.800;1.393.145.676.666.450;3;25.641.103.502.795.900;16.429.474.609.164.900;200.00.00;;;;
22.955.121.674.155.800;31.461.256.470.010.900;4;4.959.068.584.138.830;1.667.901.605.393.290;200.00.00;;;;
746.427.374.699.141;26.112.552.047.607.700;5;25.627.823.669.920.000;16.106.102.334.516.400;200.00.00;;;;
2.008.387.587.406.550;1.713.176.666.715.710;2;14.722.950.201.370.800;7.150.885.686.598.040;22.262.678.682.234.300;;;;
41.128.405.186.910.500;10.610.428.701.235.500;1;12.196.703.514.243.100;15.538.682.841.333.400;32.936.283.948.647.000;;;;
5.208.441.035.207.120;7.491.297.471.898.030;5;27.095.723.365.032.800;37.200.657.984.126.600;200.00.00;;;;
20.007.462.726.101.400;25.755.479.817.438.000;4;18.115.529.476.208.300;13.496.606.798.243.100;200.00.00;;;;
2.291.759.121.159.240;3.166.144.988.359.810;1;17.298.420.213.891.500;13.189.802.767.014.800;3.607.582.997.066.790;;;;
2.918.280.213.220.650;26.824.457.381.021.800;3;1.676.297.833.873.190;14.858.261.827.049.500;4.530.693.413.015.950;;;;
4.639.350.273.857.420;22.621.178.930.218.800;2;11.135.085.480.585.900;159.714.325.382.277;200.00.00;;;;
20.585.569.746.468.200;4.552.195.266.970.540;3;23.569.293.105.873.800;1.816.171.399.680.740;200.00.00;;;;
20.612.894.085.330.200;388.340.847.709.922;4;758.395.332.047.319;60.808.902.909.700.400;5.211.269.020.717.170;;;;
3.818.755.616.493.860;3.255.242.509.121.920;1;28.166.848.801.238.200;16.435.423.759.536.800;23.207.087.272.018.900;;;;
25.349.807.340.041.300;13.834.415.357.935.600;4;26.819.556.151.408.800;25.657.134.653.770.100;4.387.426.453.968.440;;;;
1.510.721.703.229.910;39.258.902.186.277.400;1;10.124.409.770.246.900;12.399.389.306.960.200;3.949.534.054.450.200;;;;
25.359.778.225.971.200;25.269.618.816.543.900;5;2.188.391.309.494.990;10.227.290.441.351.200;200.00.00;;;;
11.338.565.917.090.900;2.454.963.835.366.810;2;17.196.695.833.487.700;11.372.547.132.871;2.583.586.002.410.210;;;;
1.293.741.439.278.000;3.067.870.763.889.260;5;10.129.479.059.977.000;18.597.898.835.802.500;31.138.240.408.618.800;;;;
2.742.654.977.327.650;3.303.548.215.933.500;5;29.655.649.439.863.400;17.554.989.697.690.200;200.00.00;;;;
23.851.645.227.704.600;272.897.084.712.656;4;0.7571203754479261;15.916.589.487.555.300;200.00.00;;;;
46.168.065.548.064.500;7.739.542.615.549.400;2;7.579.380.918.638.590;6.200.270.695.889.040;21.437.371.489.478.000;;;;
2.130.772.546.024.840;1.551.589.772.179.640;1;15.602.221.833.334.500;18.324.553.945.035.700;200.00.00;;;;
31.126.475.762.511.900;3.733.909.469.206.380;1;15.658.590.104.356.900;28.526.461.568.136.200;5.196.111.094.549.130;;;;
3.345.189.295.637.880;11.310.777.638.222.500;3;17.667.992.248.366.900;17.213.255.114.616.900;200.00.00;;;;
5.589.250.546.475.010;16.770.179.881.987.900;1;2.255.028.516.068.750;7.235.041.374.718.540;200.00.00;;;;
3.485.918.174.075.190;1.898.684.466.893.520;4;1.870.433.491.557.880;2.021.673.921.577.680;5.556.518.630.839.510;;;;
13.011.618.509.138.800;19.257.984.618.694.700;5;18.008.443.815.841.100;13.717.782.700.574.200;200.00.00;;;;
48.248.164.286.125.400;25.678.764.552.297.400;5;16.054.338.873.912.900;5.394.318.638.003.150;6.800.823.041.996.210;;;;
11.689.822.748.890.000;3.789.380.599.655.410;5;1.129.590.863.367.890;5.627.851.391.428.000;5.866.974.548.888.660;;;;
23.658.085.567.716.000;11.905.630.337.802.600;2;696.167.219.103.468;68.148.961.583.466.500;200.00.00;;;;
8.840.735.063.538.970;7.495.550.923.133.960;1;7.961.103.348.059.260;22.100.105.825.478.100;200.00.00;;;;
4.985.934.133.306.760;1.030.640.812.481.760;4;16.630.124.230.210.300;4.365.415.739.766.820;29.163.440.360.471.800;;;;
2.759.877.546.490.590;3.581.622.130.774.290;2;5.985.159.447.888.250;10.976.529.241.256.400;4.829.495.520.243.680;;;;
3.179.232.577.940.190;2.689.500.006.824.260;3;8.818.473.030.506.920;946.278.090.100.995;6.538.112.541.855.170;;;;
8.018.441.482.479.230;13.578.551.201.848.900;4;71.125.412.555.202.000;26.008.521.709.414.500;2.640.290.048.594.620;;;;
38.748.221.167.963;3.319.003.674.183.880;4;28.455.088.296.545.800;1.397.039.949.583.970;4.477.757.693.139.490;;;;
14.445.751.689.301.300;34.870.689.865.447.100;4;28.339.971.965.132.800;5.476.834.172.641.310;4.632.778.354.364.990;;;;
4.541.244.302.483.210;3.432.103.053.154.020;5;1.829.824.675.788.150;18.927.908.736.668.300;200.00.00;;;;
14.231.283.821.690.300;37.000.281.744.663.500;4;27.735.674.061.957;175.537.809.205.744;2.550.883.556.654.700;;;;
13.580.947.429.864.900;12.332.917.746.414.300;1;23.574.379.364.051.100;64.993.770.043.959.500;200.00.00;;;;
664.473.505.316.427;30.936.551.363.612.200;4;17.698.436.484.054.200;15.881.093.638.476.800;200.00.00;;;;
26.243.012.529.949.900;2.003.996.139.914.310;5;0.19305634490387136;1.626.165.318.863.130;43.339.641.026.925.000;;;;
3.041.785.099.681.770;3.415.394.645.693.220;4;23.175.488.582.382.100;197.446.991.681.738;22.130.212.404.510.900;;;;
7.956.888.774.275.850;2.995.415.505.497.960;3;21.074.650.247.654.000;12.358.959.750.068.000;2.191.278.656.669.360;;;;
3.989.874.275.127.540;3.172.855.552.048.980;3;1.845.760.959.847.240;25.573.489.582.295.800;5.962.227.344.478.300;;;;
25.397.997.563.661.200;27.277.987.994.199.600;5;2.281.272.935.047.410;13.289.907.349.601.200;2.986.891.884.492.110;;;;
285.975.621.197.411;9.564.864.470.379.150;1;1.538.766.494.324.290;12.874.615.219.144.600;200.00.00;;;;
24.834.323.612.220.200;23.165.995.999.186.700;1;2.112.249.813.964.010;13.128.660.970.988.200;200.00.00;;;;
2.303.433.773.938.960;39.432.780.362.406.800;2;28.055.162.601.794.700;6.835.767.313.980.010;25.681.425.763.888.500;;;;
30.183.814.908.869.800;376.833.584.603.934;5;11.274.150.475.382.500;17.333.912.116.526.300;49.094.359.756.245.600;;;;
11.985.811.066.882.000;4.597.428.224.489.430;4;21.243.655.047.018.700;19.229.971.476.152.800;200.00.00;;;;
13.186.765.872.287.200;9.098.148.181.989.170;5;1.427.063.454.032.870;5.136.537.746.584.870;3.687.987.993.293.870;;;;
4.378.035.294.560.820;7.873.964.617.818.790;2;20.231.989.554.419.400;2.674.891.004.596.240;200.00.00;;;;
47.575.195.796.013.400;29.861.256.669.455.900;5;22.886.800.066.630.900;4.696.165.630.201.190;6.358.845.921.780.700;;;;
21.798.919.232.588.800;33.258.057.204.706.900;5;13.635.750.130.738.700;16.590.490.645.858.600;44.202.104.025.439.700;;;;
1.718.351.029.145.990;1.089.992.055.349.480;2;19.398.013.318.459.800;13.856.248.061.577.100;200.00.00;;;;
3.397.997.944.575.570;21.716.549.639.217.600;1;6.802.235.532.208.330;13.084.899.504.443.400;35.559.806.599.392.500;;;;
2.339.303.769.941.430;341.060.120.364.144;4;20.100.976.134.227.000;8.634.069.567.079.060;49.223.922.283.789.600;;;;
6.142.386.004.715.510;30.113.657.156.351.200;2;14.049.905.578.014.400;11.978.731.458.717.200;200.00.00;;;;
12.026.866.881.478.500;23.062.776.603.198.300;3;23.206.582.255.946.600;6.849.608.380.212.980;200.00.00;;;;
37.218.750.298.132.800;24.842.864.546.974.500;1;37.020.244.561.678.900;10.066.801.508.941.200;4.021.613.395.416.380;;;;
3.465.157.738.595.680;2.180.934.023.590.230;3;1.878.967.054.968.580;16.068.197.539.042.400;200.00.00;;;;
6.219.319.662.656.750;1.400.929.269.879.630;1;8.354.121.867.826.560;1.964.359.035.165.370;200.00.00;;;;
14.988.747.286.982.700;23.905.813.735.783.500;4;25.589.459.859.917.700;18.717.289.548.206.200;22.127.902.244.275.800;;;;
15.398.365.846.463.200;2.848.875.617.585.330;4;27.851.505.169.089.200;18.743.452.914.078.700;200.00.00;;;;
35.235.173.461.942.700;35.312.947.886.849.800;5;29.891.948.810.371.600;8.642.250.962.095.130;38.628.252.598.198.100;;;;
